Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
Nissan Motor Co Ltd,NSANY,2020/9/17,4.81,2500000000,2030/9/17,BBB-,CALLABLE,USD,JP,N
HSBC Holdings PLC,HSBC,2018/3/23,6.25,2350000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,GB,N
Wells Fargo & Co,WFC,2017/7/24,2.625,3750000000,2022/7/22,A,AT MATURITY,USD,US,N
Chesapeake Energy Corp,CHK,2016/10/5,5.5,1250000000,2026/9/15,NR,CONVERTIBLE,USD,US,N
Amadeus IT Group SA,AMSSM,2021/2/9,0.115,605270000,2023/2/9,BBB-,CALLABLE,EUR,ES,N
Aegon NV,AEGON,1996/3/4,4.26,272347650,#N/A Field Not Applicable,NR,PERP/CALL,NLG,NL,N
Eramet SA,ERAFP,2017/9/28,4.196,589200000,2024/2/28,#N/A N/A,CALLABLE,EUR,FR,N
Societe Generale SA,SOCGEN,2020/11/18,5.375,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,FR,N
Constellium SE,CSTM,2021/2/24,3.75,500000000,2029/4/15,B,CALLABLE,USD,FR,N
Tencent Holdings Ltd,TENCNT,2020/6/3,3.24,2000000000,2050/6/3,A+,CALLABLE,USD,KY,N
Oi SA,OIBRBZ,2018/7/27,10,1653557000,2025/7/27,CCC+,AT MATURITY,USD,BR,N
Delta Air Lines Inc,DAL,2020/6/12,7.375,1250000000,2026/1/15,BB,CALLABLE,USD,US,N
Alpha Bank AE,ALPHA,2020/2/13,4.25,542120000,2030/2/13,CCC,CALLABLE,EUR,GR,N
Silgan Holdings Inc,SLGN,2021/2/10,1.4,500000000,2026/4/1,BBB-,CALLABLE,USD,US,N
AT&T Inc,T,2020/5/28,3.65,3000000000,2051/6/1,BBB,CALLABLE,USD,US,N
Banco Santander SA,SANTAN,2021/1/29,0.137,394303000,2026/1/29,BBB+,AT MATURITY,EUR,ES,N
Ford Motor Co,F,2016/12/8,4.346,1500000000,2026/12/8,BB,CALLABLE,USD,US,N
Banco Santander SA,SANTAN,2020/1/14,4.375,1669635000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,ES,N
Alibaba Group Holding Ltd,BABA,2017/12/6,4,1000000000,2037/12/6,A+,CALLABLE,USD,KY,N
Peabody Energy Corp,BTU,2017/2/15,6,500000000,2022/3/31,CCC-,CALLABLE,USD,US,N
Alphabet Inc,GOOGL,2020/8/5,2.05,2500000000,2050/8/15,AA,CALLABLE,USD,US,N
Manulife Financial Corp,MFCCN,2021/2/19,3.375,1586252000,2081/6/19,BBB,CALLABLE,CAD,CA,N
Pebblebrook Hotel Trust,PEB,2020/12/15,1.75,750000000,2026/12/15,#N/A N/A,CONVERTIBLE,USD,US,N
Fluor Corp,FLR,2018/8/29,4.25,600000000,2028/9/15,BB+,CALLABLE,USD,US,N
Chesapeake Energy Corp,CHK,2019/12/19,11.5,2210156000,2025/1/1,NR,CALLABLE,USD,US,N
Intesa Sanpaolo SpA,ISPIM,2020/2/27,4.125,823477500,#N/A Field Not Applicable,B+,PERP/CALL,EUR,IT,N
Tullow Oil PLC,TLWLN,2014/4/8,6.25,650000000,2022/4/15,CCC,CALLABLE,USD,GB,N
China Evergrande Group,EVERRE,2019/4/11,9.5,1450000000,2022/4/11,B,AT MATURITY,USD,KY,N
Intesa Sanpaolo SpA,ISPIM,2020/9/1,5.5,895065000,#N/A Field Not Applicable,B+,PERP/CALL,EUR,IT,N
AbbVie Inc,ABBV,2020/11/17,4.25,5745050000,2049/11/21,BBB,CALLABLE,USD,US,N
SmileDirectClub Inc,SDC,2021/2/9,0,650000000,2026/2/1,#N/A N/A,CONVERTIBLE,USD,US,N
McCormick & Co Inc/MD,MKC,2021/2/11,1.85,500000000,2031/2/15,BBB,CALLABLE,USD,US,N
Northern Oil and Gas Inc,NOG,2018/5/15,8.5,694278200,2023/5/15,B-,CALLABLE,USD,US,N
Power Finance Corp Ltd,POWFIN,2021/1/29,3.35,500000000,2031/5/16,BBB-,AT MATURITY,USD,IN,N
Intesa Sanpaolo SpA,ISPIM,2020/10/14,2.925,587570000,2030/10/14,BB+,AT MATURITY,EUR,IT,N
Electricite de France SA,EDF,2020/9/14,0,2848055987,2024/9/14,#N/A N/A,CONVERTIBLE,EUR,FR,Y
Shimao Group Holdings Ltd,SHIMAO,2021/1/11,3.45,872000000,2031/1/11,NR,CALLABLE,USD,KY,N
Carnival Corp,CCL,2020/11/25,7.625,595790000,2026/3/1,B,CALLABLE,EUR,PA,N
Comstock Resources Inc,CRK,2019/5/14,9.75,850000000,2026/8/15,B-,CALLABLE,USD,US,N
Carnival Corp,CCL,2021/2/16,5.75,3500000000,2027/3/1,B,CALLABLE,USD,PA,N
Scatec ASA,SSONO,2021/2/19,1.955,303172500,2025/8/19,#N/A N/A,CALLABLE,EUR,NO,Y
CoreCivic Inc,CXW,2017/10/13,4.75,250000000,2027/10/15,BB,CALLABLE,USD,US,N
Wells Fargo & Co,WFC,2015/2/19,3,2500000000,2025/2/19,A,AT MATURITY,USD,US,N
Fluor Corp,FLR,2014/11/25,3.5,500000000,2024/12/15,BB+,CALLABLE,USD,US,N
Stellantis NV,STLA,2015/7/23,5.25,1467939000,2023/4/15,BBB-,AT MATURITY,USD,NL,N
McCormick & Co Inc/MD,MKC,2021/2/11,0.9,500000000,2026/2/15,BBB,CALLABLE,USD,US,N
Enbridge Inc,ENBCN,2021/2/19,0.430354005,500000000,2023/2/17,BBB,AT MATURITY,USD,CA,N
Murphy Oil Corp,MUR,2016/8/17,6.875,550000000,2024/8/15,BB,CALLABLE,USD,US,N
Premier Oil PLC,PMOLN,2013/12/11,6.5,245890500,2021/5/31,#N/A N/A,AT MATURITY,GBP,GB,N
Stellantis NV,STLA,2020/7/7,3.875,1411287500,2026/1/5,BBB-,CALLABLE,EUR,NL,N
ALD SA,ALDFP,2021/2/23,0,606345000,2024/2/23,BBB,AT MATURITY,EUR,FR,N
SKF AB,SKFBSS,2021/2/15,0.25,363927000,2031/2/15,BBB+,CALLABLE,EUR,SE,N
Piraeus Financial Holdings SA,TPEIR,2019/6/26,9.75,455312000,2029/6/26,CCC-,CALLABLE,EUR,GR,N
Unifin Financiera SAB de CV,UNIFIN,2016/9/27,7.25,400000000,2023/9/27,BB-,CALLABLE,USD,MX,N
China Evergrande Group,EVERRE,2017/6/28,6.25,1473181000,2021/6/28,B,AT MATURITY,USD,KY,N
Orsted AS,ORSTED,2019/12/9,1.75,663414000,3019/12/9,BB+,CALLABLE,EUR,DK,Y
GEO Group Inc/The,GEO,2013/10/11,5.125,300000000,2023/4/1,B+,CALLABLE,USD,US,N
Aareal Bank AG,AARB,2020/11/23,0.25,592065000,2027/11/23,NR,AT MATURITY,EUR,DE,N
Deutsche Bank AG,DB,2020/11/19,1.75,1776960000,2030/11/19,BBB-,CALLABLE,EUR,DE,N
Goldman Sachs Group Inc/The,GS,2021/1/27,1.992,2500000000,2032/1/27,A-,CALLABLE,USD,US,N
Aegon NV,AEGON,2004/7/15,1.207,500000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,NL,N
Adtalem Global Education Inc,ATGE,2021/3/1,5.5,800000000,2028/3/1,B+,CALLABLE,USD,US,N
Cemex SAB de CV,CEMEX,2014/9/11,5.7,1100000000,2025/1/11,BB-,CALLABLE,USD,MX,N
Singapore Airlines Ltd,SIASP,2021/1/20,3,500000000,2026/7/20,#N/A N/A,CALLABLE,USD,SG,N
Quad/Graphics Inc,QUAD,2015/4/6,7,300000000,2022/5/1,CCC+,AT MATURITY,USD,US,N
Boeing Co/The,BA,2020/5/4,4.875,3500000000,2025/5/1,BBB-,CALLABLE,USD,US,N
Ronshine China Holdings Ltd,RONXIN,2021/1/25,7.1,300000000,2025/1/25,B+,CALLABLE,USD,KY,N
Credit Suisse Group AG,CS,2021/1/18,0.625,1811220000,2033/1/18,BBB+,AT MATURITY,EUR,CH,N
Golub Capital BDC Inc,GBDC,2021/2/24,2.5,400000000,2026/8/24,BBB-,CALLABLE,USD,US,N
Sysco Corp,SYY,2020/4/2,6.6,1250000000,2050/4/1,BBB,CALLABLE,USD,US,N
Credit Suisse Group AG,CS,2021/1/18,0.45,1811220000,2026/1/16,BBB+,CALLABLE,EUR,CH,N
Prysmian SpA,PRYIM,2021/2/2,0,901417500,2026/2/2,#N/A N/A,CONVERTIBLE,EUR,IT,N
Spanish Broadcasting System Inc,SBSAA,2021/2/17,9.75,310000000,2026/3/1,B-,CALLABLE,USD,US,N
GameStop Corp,GME,2020/7/6,10,216422000,2023/3/15,B-,CALLABLE,USD,US,N
YPF SA,YPFDAR,2020/7/21,8.5,542806000,2025/3/23,CCC-,SINKABLE,USD,AR,N
UniCredit SpA,UCGIM,2020/1/15,2.731,1394725000,2032/1/15,BB+,CALLABLE,EUR,IT,N
Unipol Gruppo SpA,UNIIM,2020/9/23,3.25,1168130000,2030/9/23,BB,CALLABLE,EUR,IT,Y
Zhongliang Holdings Group Co Ltd,ZHLGHD,2020/10/29,9.5,450000000,2022/7/29,NR,AT MATURITY,USD,KY,N
Deutsche Boerse AG,DBOERS,2021/2/22,0,606345000,2026/2/22,NR,CALLABLE,EUR,DE,N
TechnipFMC PLC,FTI,2021/1/29,6.5,1000000000,2026/2/1,BB+,CALLABLE,USD,GB,N
Alpek SAB de CV,ALPEKA,2012/11/20,4.5,650000000,2022/11/20,BB+,AT MATURITY,USD,MX,N
Electricite de France SA,EDF,2020/9/15,3.375,1481600000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,FR,N
JPMorgan Chase & Co,JPM,2017/10/20,4.625,1257500000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Renault SA,RENAUL,2020/11/25,2.375,1191580000,2026/5/25,BB,CALLABLE,EUR,FR,N
CVS Health Corp,CVS,2018/3/9,4.3,9000000000,2028/3/25,BBB,CALLABLE,USD,US,N
China Evergrande Group,EVERRE,2018/2/14,4.25,2301246000,2023/2/14,#N/A N/A,CONV/PUT,HKD,KY,N
Boeing Co/The,BA,2020/5/4,5.15,4500000000,2030/5/1,BBB-,CALLABLE,USD,US,N
Banco BPM SpA,BAMIIM,2021/1/19,6.5,484852000,#N/A Field Not Applicable,B-,PERP/CALL,EUR,IT,N
Deutsche Boerse AG,DBOERS,2021/2/22,0.125,606345000,2031/2/22,NR,CALLABLE,EUR,DE,N
Greenland Hong Kong Holdings Ltd,GRNLHK,2019/7/17,6,300000000,2021/7/17,NR,AT MATURITY,USD,KY,N
BNP Paribas SA,BNP,2021/1/26,2.824,1250000000,2041/1/26,BBB+,AT MATURITY,USD,FR,N
American Airlines Group Inc,AAL,2020/2/25,3.75,500000000,2025/3/1,CCC,AT MATURITY,USD,US,N
Kennametal Inc,KMT,2018/6/7,4.625,300000000,2028/6/15,BBB-,CALLABLE,USD,US,N
Allianz SE,ALVGR,2016/9/7,3.875,1500000000,#N/A Field Not Applicable,A,PERP/CALL,USD,DE,N
UniCredit SpA,UCGIM,2017/12/20,5.375,1187680000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,IT,N
Goodyear Tire & Rubber Co/The,GT,2017/3/7,4.875,700000000,2027/3/15,B,CALLABLE,USD,US,N
Kinder Morgan Inc,KMI,2020/8/5,3.25,500000000,2050/8/1,BBB,CALLABLE,USD,US,N
Banco do Estado do Rio Grande do Sul SA,BRSRBZ,2021/1/28,5.375,300000000,2031/1/28,B,CALLABLE,USD,BR,N
EnQuest PLC,ENQLN,2013/2/15,7,295810644,2023/10/15,NR,EXTENDIBLE,GBP,GB,N
Luzerner Kantonalbank AG,KBLUZE,2021/3/8,2,223180000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,CHF,CH,N
Zhongliang Holdings Group Co Ltd,ZHLGHD,2021/2/1,7.5,250000000,2022/1/31,NR,AT MATURITY,USD,KY,N
Iliad SA,ILDFP,2020/6/17,2.375,730021500,2026/6/17,#N/A N/A,CALLABLE,EUR,FR,N
Boeing Co/The,BA,2020/11/2,2.75,1400000000,2026/2/1,BBB-,CALLABLE,USD,US,N
Ecopetrol SA,ECOPET,2014/5/28,5.875,2000000000,2045/5/28,BBB-,AT MATURITY,USD,CO,N
Diversified Healthcare Trust,DHC,2018/2/12,4.75,500000000,2028/2/15,B+,CALLABLE,USD,US,N
fuboTV Inc,FUBO,2021/2/2,3.25,402500000,2026/2/15,#N/A N/A,CONVERTIBLE,USD,US,N
Vista Outdoor Inc,VSTO,2021/3/3,4.5,500000000,2029/3/15,B,CALLABLE,USD,US,N
AT&T Inc,T,2020/8/4,2.25,2500000000,2032/2/1,BBB,CALLABLE,USD,US,N
Sands China Ltd,SANLTD,2021/2/2,3.8,796938000,2026/1/8,BBB-,CALLABLE,USD,KY,N
Altria Group Inc,MO,2019/2/14,5.8,2000000000,2039/2/14,BBB,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2020/2/24,4,1500000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
UniCredit SpA,UCGIM,2021/1/19,0.85,1212130000,2031/1/19,BBB,AT MATURITY,EUR,IT,N
Hewlett Packard Enterprise Co,HPE,2016/12/30,6.35,1492420000,2045/10/15,BBB,CALLABLE,USD,US,N
Peabody Energy Corp,BTU,2021/1/29,8.5,195142000,2024/12/31,CCC,CALLABLE,USD,US,N
United Airlines Holdings Inc,UAL,2019/5/9,4.875,350000000,2025/1/15,B+,AT MATURITY,USD,US,N
Olam International Ltd,OLAMSP,2021/1/18,5.375,187814500,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,SGD,SG,N
ADLER Group SA,ADJGR,2021/1/14,2.25,973248000,2029/1/14,NR,CALLABLE,EUR,LU,N
AT&T Inc,T,2020/8/4,3.1,2500000000,2043/2/1,BBB,CALLABLE,USD,US,N
Enable Midstream Partners LP,ENBL,2015/12/22,5,550000000,2044/5/15,BBB-,CALLABLE,USD,US,N
General Electric Co,GE,2020/4/22,4.35,3750000000,2050/5/1,BBB,CALLABLE,USD,US,N
Plains All American Pipeline LP,PAA,2017/10/10,6.125,800000000,#N/A Field Not Applicable,BB-,PERP/CALL,USD,US,N
Citigroup Inc,C,2015/8/12,4.28875,1250000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Morgan Stanley,MS,2021/1/25,2.802,2000000000,2052/1/25,A,CALLABLE,USD,US,N
UBS Group AG,UBS,2020/7/29,5.125,750000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,CH,N
Hexcel Corp,HXL,2015/8/3,4.95,300000000,2025/8/15,BB+,CALLABLE,USD,US,N
Nordstrom Inc,JWN,2019/11/6,4.375,500000000,2030/4/1,BB+,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2021/1/19,0.325,1212130000,2026/1/19,BBB,AT MATURITY,EUR,IT,N
L Brands Inc,LB,2016/3/8,6.875,999348000,2035/11/1,B,AT MATURITY,USD,US,N
Exxon Mobil Corp,XOM,2020/4/15,3.452,2750000000,2051/4/15,AA,CALLABLE,USD,US,N
Redsun Properties Group Ltd,REDSUN,2021/1/13,7.3,350000000,2025/1/13,B,CALLABLE,USD,KY,N
Azimut Holding SpA,AZMIM,2019/12/12,1.625,555510000,2024/12/12,NR,AT MATURITY,EUR,IT,N
Daimler AG,DAIGR,2020/9/10,0.75,1185760000,2030/9/10,BBB+,AT MATURITY,EUR,DE,Y
International Consolidated Airlines Group SA,IAGLN,2019/7/4,0.5,564065000,2023/7/4,BB-,CALLABLE,EUR,ES,N
Hexcel Corp,HXL,2017/2/16,4.2,400000000,2027/2/15,BB+,CALLABLE,USD,US,N
Societe Generale SA,SOCGEN,2021/1/12,0.5,1217470000,2029/6/12,BBB,CALLABLE,EUR,FR,N
GEO Group Inc/The,GEO,2014/9/25,5.875,250000000,2024/10/15,B+,CALLABLE,USD,US,N
Bank of America Corp,BAC,2020/10/21,1.922,2500000000,2031/10/24,A,CALLABLE,USD,US,N
Western Digital Corp,WDC,2018/2/13,4.75,2300000000,2026/2/15,BB+,CALLABLE,USD,US,N
Murphy Oil Corp,MUR,2019/11/27,5.875,550000000,2027/12/1,BB,CALLABLE,USD,US,N
Bank of Nova Scotia/The,BNS,2017/10/12,4.65,1250000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,CA,N
Citigroup Inc,C,2021/1/28,1.122,2500000000,2027/1/28,A-,CALLABLE,USD,US,N
GTT Communications Inc,GTT,2016/12/22,7.875,575000000,2024/12/31,CC,CALLABLE,USD,US,N
HSBC Holdings PLC,HSBC,2015/3/30,6.375,2450000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,GB,N
Brighthouse Financial Inc,BHF,2018/4/25,4.7,1499750000,2047/6/22,BBB,CALLABLE,USD,US,N
Saudi Arabian Oil Co,ARAMCO,2020/11/24,3.25,2250000000,2050/11/24,A,CALLABLE,USD,SA,N
Barclays PLC,BACR,2018/8/14,7.75,2500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,GB,N
Ares Capital Corp,ARCC,2021/1/13,2.15,650000000,2026/7/15,BBB-,CALLABLE,USD,US,N
Casino Guichard Perrachon SA,COFP,2013/10/24,3.992,1035330000,#N/A Field Not Applicable,CCC,PERP/CALL,EUR,FR,N
Casino Guichard Perrachon SA,COFP,2020/12/22,6.625,486980000,2026/1/15,B-,CALLABLE,EUR,FR,N
Coty Inc,COTY,2018/4/5,4,672996500,2023/4/15,CCC,CALLABLE,EUR,US,N
Allianz SE,ALVGR,2020/11/17,2.625,1482875000,#N/A Field Not Applicable,A-,PERP/CALL,EUR,DE,N
Boeing Co/The,BA,2020/11/2,3.625,1400000000,2031/2/1,BBB-,CALLABLE,USD,US,N
Alphabet Inc,GOOGL,2020/8/5,2.25,2000000000,2060/8/15,AA,CALLABLE,USD,US,N
MercadoLibre Inc,MELI,2021/1/14,3.125,700000000,2031/1/14,BB+,CALLABLE,USD,US,N
Alibaba Group Holding Ltd,BABA,2015/11/25,3.6,2233431000,2024/11/28,A+,CALLABLE,USD,KY,N
Danaos Corp,DAC,2021/2/11,8.5,300000000,2028/3/1,NR,CALLABLE,USD,MH,N
Morgan Stanley,MS,2021/1/25,1.928,2500000000,2032/4/28,A,CALLABLE,USD,US,N
Stellantis NV,STLA,2016/3/30,3.75,1414862500,2024/3/29,BBB-,AT MATURITY,EUR,NL,N
Cellnex Telecom SA,CLNXSM,2020/6/26,1.875,842220000,2029/6/26,BB+,CALLABLE,EUR,ES,N
Yapi ve Kredi Bankasi AS,YKBNK,2021/1/22,7.875,500000000,2031/1/22,CCC+,CALLABLE,USD,TR,N
Masco Corp,MAS,2021/3/4,1.5,600000000,2028/2/15,BBB,CALLABLE,USD,US,N
Kaisa Group Holdings Ltd,KAISAG,2020/1/23,9.95,500000000,2025/7/23,B,CALLABLE,USD,KY,N
BlackRock TCP Capital Corp,TCPC,2021/2/9,2.85,175000000,2026/2/9,BBB-,CALLABLE,USD,US,N
Intel Corp,INTC,2020/3/25,4.75,2250000000,2050/3/25,A+,CALLABLE,USD,US,N
Twitter Inc,TWTR,2014/9/17,1,954000000,2021/9/15,NR,CONVERTIBLE,USD,US,N
Fantasia Holdings Group Co Ltd,FTHDGR,2020/10/19,9.875,320000000,2023/10/19,NR,CALLABLE,USD,KY,N
Atlantia SpA,ATLIM,2017/7/13,1.875,1139070000,2027/7/13,BB-,CALLABLE,EUR,IT,N
Unifin Financiera SAB de CV,UNIFIN,2019/7/18,8.375,450000000,2028/1/27,BB-,CALLABLE,USD,MX,N
Indian Railway Finance Corp Ltd,INRCIN,2020/2/13,3.249,700000000,2030/2/13,BBB-,AT MATURITY,USD,IN,N
Apple Inc,AAPL,2020/8/20,1.25,1250000000,2030/8/20,AA+,CALLABLE,USD,US,N
Electronic Arts Inc,EA,2016/2/24,4.8,400000000,2026/3/1,BBB+,CALLABLE,USD,US,N
Banco Santander SA,SANTAN,2018/3/19,4.75,1852230000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,ES,N
Freeport-McMoRan Inc,FCX,2013/10/9,5.45,1999800000,2043/3/15,BB,CALLABLE,USD,US,N
HSBC Holdings PLC,HSBC,2017/5/22,6,3000000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,GB,N
Telecom Italia SpA/Milano,TITIM,2015/3/26,1.125,2173320000,2022/3/26,BB,CONVERTIBLE,EUR,IT,N
Expedia Group Inc,EXPE,2020/5/5,7,750000000,2025/5/1,BBB-,CALLABLE,USD,US,N
Indian Railway Finance Corp Ltd,INRCIN,2020/2/13,3.95,300000000,2050/2/13,BBB-,AT MATURITY,USD,IN,N
UniCredit SpA,UCGIM,2020/7/22,2.2,1447162500,2027/7/22,BBB-,CALLABLE,EUR,IT,N
Eni SpA,ENIIM,2020/10/13,3.375,1760205000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,IT,N
Lincoln National Corp,LNC,2006/5/17,2.549,800000000,2066/5/17,BBB-,CALLABLE,USD,US,N
OFS Capital Corp,OFS,2021/2/10,4.75,100000000,2026/2/10,#N/A N/A,CALLABLE,USD,US,N
Wells Fargo & Co,WFC,2016/10/31,1.4415,2000000000,2023/10/31,A,CALLABLE,USD,US,N
American Express Co,AXP,2014/11/10,3.62175,750000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Oracle Corp,ORCL,2020/4/1,3.6,4500000000,2050/4/1,A-,CALLABLE,USD,US,N
BOC Aviation Ltd,BOCAVI,2021/1/21,1.75,500000000,2026/1/21,A-,CALLABLE,USD,SG,N
Accor SA,ACFP,2019/2/4,3,685872000,2026/2/4,BB+,CALLABLE,EUR,FR,N
Live Nation Entertainment Inc,LYV,2020/2/3,2,400000000,2025/2/15,#N/A N/A,CONVERTIBLE,USD,US,N
Ball Corp,BLL,2020/8/13,2.875,1300000000,2030/8/15,BB+,CALLABLE,USD,US,N
Apple Inc,AAPL,2020/8/20,2.55,1750000000,2060/8/20,AA+,CALLABLE,USD,US,N
Credito Real SAB de CV SOFOM ER,CREAL,2019/2/7,9.5,400000000,2026/2/7,BB,CALLABLE,USD,MX,N
Zhenro Properties Group Ltd,ZHPRHK,2021/1/7,6.63,400000000,2026/1/7,B,CALLABLE,USD,KY,Y
Murphy Oil Corp,MUR,2017/8/18,5.75,550000000,2025/8/15,BB,CALLABLE,USD,US,N
Adecoagro SA,AGRO,2017/9/21,6,500000000,2027/9/21,BB,CALLABLE,USD,LU,N
Turkiye Is Bankasi AS,ISCTR,2020/1/22,7.75,750000000,2030/1/22,CCC,CALLABLE,USD,TR,N
Meituan,MEITUA,2020/10/28,3.05,1250000000,2030/10/28,BBB-,CALLABLE,USD,KY,N
Deutsche Bank AG,DB,2020/5/19,5.625,1366187500,2031/5/19,BB,CALLABLE,EUR,DE,N
ACEA SpA,ACEIM,2021/1/28,0.25,727506000,2030/7/28,BBB,CALLABLE,EUR,IT,Y
Bombardier Inc,BBDBCN,2013/1/14,6.125,1250000000,2023/1/15,CCC-,AT MATURITY,USD,CA,N
AT&T Inc,T,2020/5/28,2.75,3000000000,2031/6/1,BBB,CALLABLE,USD,US,N
Viatris Inc,VTRS,2020/6/22,4,2000000000,2050/6/22,BBB-,CALLABLE,USD,US,N
Altria Group Inc,MO,2012/8/9,2.85,1900000000,2022/8/9,BBB,AT MATURITY,USD,US,N
Electricite de France SA,EDF,2013/1/29,5.25,3000000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,FR,N
Volcan Cia Minera SAA,VOLCAN,2021/2/11,4.375,475000000,2026/2/11,BB-,CALLABLE,USD,PE,N
AMC Entertainment Holdings Inc,AMC,2015/7/27,5.75,600000000,2025/6/15,C+,CALLABLE,USD,US,N
Callon Petroleum Co,CPE,2015/4/28,6.25,650000000,2023/4/15,CCC,CALLABLE,USD,US,N
ams AG,AMSSW,2020/11/3,2.125,889929600,2027/11/3,#N/A N/A,CONVERTIBLE,EUR,AT,N
Assicurazioni Generali SpA,ASSGEN,2014/11/21,4.596,1858215000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,IT,N
Goodyear Tire & Rubber Co/The,GT,2016/5/13,5,900000000,2026/5/31,B,CALLABLE,USD,US,N
Citrix Systems Inc,CTXS,2020/2/25,3.3,750000000,2030/3/1,BBB-,CALLABLE,USD,US,N
Telefonaktiebolaget LM Ericsson,ERICB,2017/3/1,1.875,528175000,2024/3/1,BB+,AT MATURITY,EUR,SE,N
K+S AG,SDFGR,2013/12/6,4.125,684810000,2021/12/6,NR,AT MATURITY,EUR,DE,N
Carnival Corp,CCL,2020/8/18,9.875,900000000,2027/8/1,B+,CALLABLE,USD,PA,N
Koninklijke KPN NV,KPN,2009/9/17,5.75,1399100000,2029/9/17,BBB-,AT MATURITY,GBP,NL,N
Bombardier Inc,BBDBCN,2014/4/3,6,1200000000,2022/10/15,CCC-,CALLABLE,USD,CA,N
Commerzbank AG,CMZB,2020/6/16,6.125,1408537500,#N/A Field Not Applicable,BB-,PERP/CALL,EUR,DE,N
Citigroup Inc,C,2020/1/23,4.7,1500000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
MakeMyTrip Ltd,MMYT,2021/2/9,0,200000000,2028/2/15,#N/A N/A,CONV/PUT,USD,MU,N
Altria Group Inc,MO,2019/2/14,5.95,2500000000,2049/2/14,BBB,CALLABLE,USD,US,N
Kaisa Group Holdings Ltd,KAISAG,2020/12/8,6.5,400000000,2021/12/7,#N/A N/A,AT MATURITY,USD,KY,N
Vista Outdoor Inc,VSTO,2016/10/4,5.875,350000000,2023/10/1,B,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2014/9/10,6.75,1290190000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,IT,N
Obrascon Huarte Lain SA,OHLSM,2014/3/17,4.75,556996000,2022/3/15,CC-,CALLABLE,EUR,ES,N
Pampa Energia SA,PAMPAR,2016/7/21,7.375,500000000,2023/7/21,CCC,CALLABLE,USD,AR,N
ConocoPhillips,COP,2021/2/8,4.3,972920000,2028/8/15,A-,CALLABLE,USD,US,N
ams AG,AMSSW,2018/3/5,0,740052000,2025/3/5,#N/A N/A,CONVERTIBLE,EUR,AT,N
Diebold Nixdorf Inc,DBD,2016/11/17,8.5,400000000,2024/4/15,CCC,CALLABLE,USD,US,N
Amazon.com Inc,AMZN,2020/6/3,2.5,2500000000,2050/6/3,A+,CALLABLE,USD,US,N
Becton Dickinson and Co,BDX,2020/5/20,2.823,750000000,2030/5/20,BBB-,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2017/5/22,6.625,1404225000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,IT,N
China Evergrande Group,EVERRE,2017/6/28,7.5,1344921000,2023/6/28,B,CALLABLE,USD,KY,N
Wells Fargo & Co,WFC,2014/9/9,3.3,2250000000,2024/9/9,A,AT MATURITY,USD,US,N
Kaisa Group Holdings Ltd,KAISAG,2020/7/16,9.75,500000000,2023/9/28,B,CALLABLE,USD,KY,N
UBS Group AG,UBS,2019/8/27,4.375,472713500,#N/A Field Not Applicable,BB+,PERP/CALL,AUD,CH,N
Accor SA,ACFP,2020/12/7,0.7,606654945,2027/12/7,#N/A N/A,CONVERTIBLE,EUR,FR,N
Banca Monte dei Paschi di Siena SpA,MONTE,2020/12/9,1.875,905430000,2026/1/9,B-,AT MATURITY,EUR,IT,N
Ecobank Transnational Inc,ETINL,2019/4/18,9.5,500000000,2024/4/18,B-,AT MATURITY,USD,TG,N
Apple Inc,AAPL,2020/5/11,1.65,1750000000,2030/5/11,AA+,CALLABLE,USD,US,N
Credit Suisse Group AG,CS,2020/1/24,5.1,1000000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,CH,N
